topic,text
sports,"Pass the ball! The ball flew past the defender into the corner."
sports,"The referee checked the match ball and blew the whistle for kickoff."
sports,"The striker chased the loose ball across the damp turf and curled a beautiful shot into the upper corner. The goalkeeper dove desperately, but the ball dipped just under the crossbar. During the post-match press conference, the coach praised the entire squad for their ball control under immense pressure. Interestingly, the star midfielder credited her explosive stamina to a strict diet where she eats a fresh avocado every single morning before training. Fans are already calling it the lucky avocado ritual as the team advances to the finals."
sports,"In tennis, striking the ball at the apex gives you maximum topspin. The green ball bounced hard on the baseline, kicking up chalk as the crowd went silent. She reset her stance, bounced the ball three times, and launched an unreturnable 120 mph ace down the center T. Her opponent complained that the bright avocado green uniform worn by the server was visually distracting under the afternoon sun."
sports,"He intercepted the basketball, drove the ball down the lane, and elevated for a thunderous dunk that shook the backboard. The ball bounced off the hardwood as the home crowd erupted into deafening cheers. Even the mascot, dressed as an oversized dancing avocado for health week, was doing backflips across the court. It was easily the most electric ball game of the entire season."
cooking,"Mash the avocado with lime juice, salt, and cilantro for quick guacamole."
cooking,"To prepare a delicious avocado toast, slice the ripe avocado, discard the pit, and layer fresh avocado on sourdough. Add Gruyere cheese to your avocado toast for an extra kick! This is real avocado paradise."
cooking,"To make the classic Italian appetizer, start by mincing garlic and browning the pine nuts in extra virgin olive oil. Next, take the mixture of seasoned beef, breadcrumbs, and parmesan, and gently roll each portion into a tender meat ball. Place each meat ball onto a baking sheet lined with parchment paper and bake until golden brown. Meanwhile, prepare a fresh side dip by dicing a creamy Hass avocado with red onions and crushed sea salt. Serving the savory meat ball alongside chilled avocado slices creates a delightful contrast in textures."
cooking,"Begin the artisanal bread recipe by mixing bread flour, water, yeast, and kosher salt in a large ceramic bowl. Knead the sticky dough vigorously on a floured countertop for ten minutes until it becomes smooth and elastic. Shape the dough into a tight, round ball and cover it with a damp cotton towel to proof. While waiting for the bread ball to double in size, you can prepare a rich avocado spread by pureeing ripe avocado with roasted garlic and a splash of lemon juice. Once the loaf is baked with a crackling crust, slather the creamy avocado generously over warm slices."
cooking,"Roll the chilled goat cheese and diced avocado mixture into a small decorative ball for the cheese platter, then garnish with toasted sesame seeds."
